00000956068;MEX001230;;71897;0f1 WyF0KN;0f1 WyF0KNNNQIOoisb, Yn hd cA;;SXK;;;NON FINANCIAL;;;;;72853083;407700;;MEX001230;BANXICO;Reporting Delegation Model;01;;;;;;;
00000971359;MEX017158;;299446;hTUU20YWz2;hf1XW 988AK wF NxRvorcbc10 jhcZ XlyQ;;MEX;;;;;;;;B9480745;565523;;MEX017158;;;;;;;;;;
00000956077;MEX001239;;72049;hX2 UB1I5K;hX2 UB1I5K, RRu LP lo tp oy;;QUB;;;NON FINANCIAL;;;;;77746708;407783;;MEX001239;BANXICO;Reporting Delegation Model;01;;;;;;;
00000977610;MEX023586;;546716;zzT55BI7Nw;zzbVBGE CKRG QuoSmXf YjT4W81z y3BRxHMnw;;MEX;;;;;;;;17912965;629931;;MEX023586;;;;;;;;;;
00000965714;MEX011329;;136154;zbX8y90Q O;zbX8y90Q O9 FJ Kk;;PUE;;;;;;;;A5980266;508424;;MEX011329;;;;;;;;;;
00000965713;MEX011328;;136151;gz0VB1DMND;gz0VBz83HHpFLrlR tp maz0a8U86DCB8uw MQ RrnlVmc4d 8X z3 4Q;;0YJ;;;;;;;;A5241844;508416;;MEX011328;;;;;;;;;;
00000975946;MEX021891;;496485;ay9U20Y201;hf1X8 5DOAu wF NxRfulqWcT 139 TH1 9FI 5FDE;;MEX;;;;;;;;D0549945;614370;;MEX021891;;;;;;;;;;
00000976219;MEX022180;;504171;g2U5V5EL6O;g2U501DB6 t DNumSxjffZeZe 7YA6 48 9v;;1AV;;;;;;;;C8765271;617290;;MEX022180;;;;;;;;;;
00000966045;MEX011667;;144855;i6U6yzK3NH;i6U6yzK3NHC wQrpvffY Vk ea ZD;;G4W;;;;;;;;55957990;511758;;MEX011667;BANXICO;Reporting Delegation Model;01;RESTRICCION POR FALTA DE CARTAS DE CONFIRMACION;DERIVADOS;2024-01-05;;;;
00000967046;MEX012722;;169532;Yf5AyF8L I;Yf5AyF8L IDrNKr kR tp oy;;C5X;;;;;;;;B3095084;521922;;MEX012722;;;;;;;;;;
00000967529;MEX013211;;178524;Ud2F8T238;hXY4yF H3EBGt uNobitoni 1e YU TJ;;G4I;;;;;;;;36147070;526632;;MEX013211;;;;;;;;;;
00000968442;MEX014174;;200648;ec8ZB0EC6G;ec8ZB0E C6Rwx PPlmwgnj5;;VEU;;;;;;;;17502867;535880;;MEX014174;;;;;;;;;;
00000967287;MEX012966;;172817;12c461NE6F;12c4CCEKPDw RMiuxi iqh0Ue 7Y y2 3P;;TKK;;;;;;;;17956034;524298;;MEX012966;BANXICO;Reporting Delegation Model;01;;;;;;;
00000972689;MEX018527;;414960;cf6X8AK56F;cf6 X894K8HCQ LP pfsYc lk1e7 yCyE7B3 vG MQ Rd;;G9U;;;;;;;;17389309;578559;;MEX018527;;;;;;;;;;
00000965847;MEX011466;;139414;0b5ZyE4HO9;0b5C2z8HO 9GuMrk RcacbW23TH Dy 48 9v;;MEX;;;;;;;;57315907;509711;;MEX011466;;;;;;;;;;
00000976772;MEX022738;;518644;0bzz7TD4ND;0bzz7T D3JJKS JoSmsc;;MEX;;;;;;;;17675690;622498;;MEX022738;;;;;;;;;;
00000968136;MEX013856;;196881;Wf56yF23;Wf56yF23 O9 FJ Kk;;B1L;;;;;;;;68174151;532770;;MEX013856;;;;;;;;;;
00000968137;MEX013857;;196884;ca643HBB6M;c2c48F O 8KQxFRPk hwg hTZZe2 AAF 48 OA;;GUD;;;;;;;;69234764;532788;;MEX013857;;;;;;;;;;
00000969469;MEX015225;;220953;1fZWy5IAEL;Zb6BC 1HGARvx pLRwsl YgcVeYY;;THW;;;;;;;;17933732;546614;;MEX015225;;;;;;;;;;
00000974252;MEX020164;;461431;Wbz57A IN7;Wbz57A IN7RKIQLlrw hm0cf0 7Y y2 3P;;5SS;;;;;;;;C8593998;594879;;MEX020164;;;;;;;;;;
00000973958;MEX019868;;455369;0X0z5T1;0X0z5T1 L6 CG Hn;;5TL;;;;;;;;84899510;592063;;MEX019868;;;;;;;;;;
00000956607;MEX001810;;76787;zfy, 9W 04;zfy, 9W 04 5R;;1BF;;;NON FINANCIAL;;;;;19242696;412965;;MEX001810;BANXICO;Reporting Delegation Model;01;;;;;;;
00000954531;MX04531;;59228;3bz5J E0FK;3bz5J E0FKR, wF LP Qe;;G6H;;;NON FINANCIAL;;;;;17997308;943241;;MX04531;BANXICO;Reporting Delegation Model;01;;;;;;;
00000970276;MEX016034;;248697;d2cXU0BHI9;d2cXU5EG6LKJvmo ws iq cWVe 7Y y2 3P;;MZT;;;;;;;;18146364;554832;;MEX016034;;;;;;;;;;
00000953374;MX03374;;59224;X0 a572458;X0 a572458HQS k uOewqc, Vk ea ZD;;AGC;;;NON FINANCIAL;;;;;30882816;932657;;MX03374;BANXICO;Reporting Delegation Model;01;;;;;;;
00000955460;MEX000455;;66018;Yz36yEJ FA;Yz36yEJ FAuKHu, nO ws rQ;;G30;;;NON FINANCIAL;;;;;21376777;401836;;MEX000455;BANXICO;Reporting Delegation Model;01;;;;;;;
00000955876;MEX001027;;70008;gfXVDTB7N9;gfXVDTB7N9 pJpL, kR tp oy;;5GZ;;;NON FINANCIAL;;;;nldgqd3R0B5uogxKlhuw;19357167;405787;2023-04-19;MEX001027;BANXICO;Reporting Delegation Model;01;;;;;;;
00000150841;E9MGIGUD;;68315;W51zU5FBK;W51zU5FBK CG LoLRRlthnTh;;GUD;;;NON FINANCIAL;;;;;;;;9MGIGUD;;;;;;;;;;
00000150841;9MGIGUD;;68315;W51zU5FBK;W51zU5FBK CG LoLRRlthnTh;;GUD;;;NON FINANCIAL;;;;;;;;9MGIGUD;;;;;;;;;;
00000969434;MEX015190;;220100;e378W00KKC;ic5zWA0 6AK EFrtSm sbXWkee 66yF9ARHo;;5GT;;;;;;;;52019937;546259;;MEX015190;;;;;;;;;;
00000969436;MEX015192;;220123;eya5B18G8;eya5B1 8G8 RCwQ OS xb;;5UT;;;;;;;;B9583144;546275;;MEX015192;BANXICO;Reporting Delegation Model;01;;;;;;;
00000972667;MEX018503;;414243;ey5AW873JC;ey5zAH4 M6KCRIn vRjqqc;;SKZ;;;;;;;;85777959;578302;;MEX018503;;;;;;;;;;
00000976545;MEX022516;;512900;TdcY804LPD;T2238GEK6 BCGu OSo sbXj yh bX WG;;MEX;;;;;;;;D4044715;620518;;MEX022516;;;;;;;;;;
00000974258;MEX020170;;461580;hXWX8HDMNt;hXW X8HDMNt wF LP Qe;;HBH;;;;;;;;77451073;594937;;MEX020170;;;;;;;;;;
00000967550;MEX013232;;182884;011 2WG8G6;011 2WG8G6 R FJ ru Rv uY;;MEX;;;;;;;;B6136844;526855;;MEX013232;;;;;;;;;;
00000967551;MEX013233;;182897;eUY1DEEG9D;eUY1DEEG 9DN GIwul et nj i4;;G6V;;;;;;;;18116805;526863;;MEX013233;BANXICO;Reporting Delegation Model;01;;;;;;;
00000974954;MEX020879;;477885;12U651 I E;12U651 I EKFKtpxQR etbf hd cA;;MEX;;;;;;;;C9847852;605055;;MEX020879;;;;;;;;;;
00000973630;MEX019528;;447289;T22W 551KA;T22WEzJHO 9IuQNoowb  nj ZZd6UD GGL AH wR  MQ Rd;;PUE;;;;;;;;C6890426;588012;;MEX019528;;;;;;;;;;
00000953608;MX03608;;59359;Xf U4THIMN;Xf U4THIMNHCQ wPfrutdn, yh bX WG;;AGC;;;NON FINANCIAL;;;;;17493004;935098;;MX03608;BANXICO;Reporting Delegation Model;01;;;;;;;
00000954420;MX04420;;59281;3fa5 I zEG;3fa5 I zEGAuKxvPk, hw qm l1;;SKZ;;;NON FINANCIAL;;;;;24568312;942144;;MX04420;BANXICO;Reporting Delegation Model;01;;;;;;;
00000952615;MX02615;;59614;ay7VB 1II6;ay7VB 1II6BKxq NonscofkWWEYyCI4, PL GK Lj;;MEX;;;NON FINANCIAL;;;;;18215961;926121;;MX02615;BANXICO;Reporting Delegation Model;01;;;;;;;
00000952781;MX02781;;58795;W51zU5FBK;W51zU5FBK CG voPlvdtZZ;;QUB;;;NON FINANCIAL;;;;;61296875;927475;;MX02781;BANXICO;Reporting Delegation Model;01;;;;;;;
00000161995;9NSSMEX;;58699;Vb6A51 I7N;Vb6A51 I7NwKHQrk xicbZTh5TD9G, J4 AH Fp;;MEX;;;NON FINANCIAL;;;;;54524461;917617;;9NSSMEX;;;;;;;;;;
00000951077;MX01077;;60211;dz1W8 I0EI;dz1W8 I0EIDr 6F Pp rjbXW0V bX VzI44 B8 uGpM kuvh Xm gc bB B475;;MEX;;;NON FINANCIAL;;;;;51850235;;;MX01077;;;;;;;;;;
;MDX;;58955;WbBWyE C7N;WbBWyE C7NBCIu OSioYqkW1;;MEX;;;NON FINANCIAL;;;;;;;;MDX;;;;;;;;;;
00000954355;MX04355;;60382;e5zV7 94QE;e5zV7 94QEBQ IM nSiblofW1, 4b Vz 0M;;MEX;;;NON FINANCIAL;;;;;22035960;941427;;MX04355;BANXICO;Reporting Delegation Model;01;;;;;;;
00000954802;MX04802;;58709;VbW5U505EN;VbW5U505ENP NjLliw qm bcfX3YTyE, M7 IH Im;;DVH;;;NON FINANCIAL;;;;;17681734;945766;;MX04802;BANXICO;Reporting Delegation Model;01;;;;;;;
